name,city,state,country,employees,founded,description
Peanut Butter & Co.,New York,,United States,11-50 Employees,1998,"Peanut Butter & Co. offers a variety of delicious peanut butter flavors and products, catering to peanut butter enthusiasts with options like powdered peanut butter and convenient squeeze packs. Their commitment to quality is highlighted by certifications from The Non-GMO Project and Vegan Action."
ManiLife,London,,United Kingdom,1-10 Employees,2018,"The Peanut Butter People, also known as ManiLife, specialize in crafting gourmet peanut butter using high-quality peanuts sourced from a single farm in Cordoba, Argentina. Their meticulous roasting and small-batch blending processes create a rich and creamy texture, offering both smooth and crunchy varieties that have garnered a dedicated following among peanut butter enthusiasts."
Valeo Foods Ireland,Dublin,,Ireland,501-1000 Employees,2010,"Valeo Foods Ireland is a manufacturer and distributor of a diverse range of consumer food products, including peanut butter. The company emphasizes high-quality sourcing and brand development, indicating a commitment to meeting consumer needs with its expanding product portfolio."
Epic Foods (Pty) Ltd,Johannesburg,,South Africa,251-500 Employees,1997,"Epic Foods (Pty) Ltd is committed to becoming a prominent brand in the food industry and offers a range of products, including peanut butter. Their dedication to quality and integrity underscores their focus on delivering value to customers."
United Foods™ - India,Bhavnagar,,India,51-100 Employees,2013,"United Foods is a prominent manufacturer and exporter of peanut butter in India, producing 4,000 MT annually. Their commitment to quality is reflected in their advanced production techniques and various industry certifications."
Fix & Fogg,Wellington,,New Zealand,11-50 Employees,2013,"The company specializes in innovative and unique peanut butters, offering options like Smooth Peanut Butter and Super Crunchy Peanut Butter in 2kg and 4kg pails. They emphasize high-quality, locally sourced ingredients and sustainable practices."
Pic's Peanut Butter,Nelson,,New Zealand,51-100 Employees,2007,"Pic's Peanut Butter specializes in high-quality, all-natural peanut butter, available in both crunchy and smooth varieties. Their products, made from premium Australian peanuts, are widely available in New Zealand and Australia, with options for convenient on-the-go consumption."
Loacker,Ritten - Renon,,Italy,1001-5000 Employees,1925,"Loacker offers a Peanut Butter product, highlighting its deliciousness and suitability for any time of day."
Alpino Health Foods,Surat,,India,51-100 Employees,2016,"Alpino Classic Peanut Butter is a high-quality, natural product made with roasted peanuts, brown sugar, and sea salt, offering a delicious taste and 24 grams of protein per tub. The company's renewed mission to promote peanuts in India has led to its popularity among health-conscious consumers, establishing Alpino as a go-to brand for peanut butter lovers."
Petrow Food Group,West Suffolk,,United Kingdom,51-100 Employees,,"Petrow Food Group specializes in manufacturing a variety of nut butters, including peanut butter and tree nut butters, for private label customers. They have recently expanded their operations, enhancing their production capabilities to meet the growing demand for high-protein peanut butter and other nut-based products."
